episode,falls,speed,average deviation
404,0,0.003377926,0.195816744
405,0,0.003712375,0.143118141
406,1,0.006424242,0.321493089
407,0,0.003712375,0.382242735
408,0,0.003645485,0.595334195
409,0,0.003545151,0.364155831
410,0,0.003377926,0.636894166
411,0,0.004180602,0.228585532
412,0,0.003545151,0.175396941
413,0,0.004481605,0.298559279
414,0,0.003712375,0.109258344
415,1,0.006413793,0.251056881
416,1,0.007191011,0.203872809
417,1,0.005970696,0.221503068
418,1,0.006422018,0.222987163
419,0,0.003745819,0.314672858
420,0,0.004247492,0.284512505
421,0,0.003578595,0.108975585
422,0,0.003745819,0.185491443
423,0,0.004113712,0.247984351
424,1,0.004736842,0.31426659
425,0,0.003979933,0.28987772
426,1,0.006902655,0.189156413
427,0,0.004381271,0.090752981
428,0,0.004983278,0.141028219
429,1,0.005083056,0.684183134
430,0,0.004147157,0.089191974
431,0,0.003344482,0.315733605
432,0,0.003879599,0.164815582
433,1,0.003333333,0.215116057
434,0,0.003879599,0.258845863
435,0,0.003444816,0.166079871
436,0,0.004046823,0.605206724
437,0,0.003812709,0.208854807
438,0,0.004113712,0.235474242
439,0,0.003578595,0.130120763
440,0,0.003745819,0.232809755
441,1,0.00408867,0.236311101
442,1,0.004893617,0.296680016
443,0,0.003311037,0.272917895
444,0,0.004214047,0.317984135
445,0,0.003645485,0.208465567
446,0,0.003444816,0.140052768
447,0,0.003779264,0.17640761
448,1,0.006952381,0.12169324
449,1,0.006402878,0.261307801
450,0,0.003444816,0.232667407
451,0,0.003377926,0.285656386
452,0,0.003846154,0.123352129
453,1,0.005693431,0.08451177
454,1,0.00548495,0.51356056
455,0,0.004046823,0.254359606
456,0,0.00367893,0.383486029
457,0,0.003812709,0.202710758
458,0,0.003444816,0.386624579
459,0,0.004615385,0.099697408
460,0,0.003879599,0.093025408
461,0,0.003478261,0.164980191
462,0,0.004414716,0.171151702
463,1,0.00450237,0.186721367
464,0,0.003411371,0.104967318
465,0,0.003645485,0.23053167
466,0,0.004147157,0.267186995
467,0,0.003411371,0.279475979
468,0,0.003344482,0.241069729
469,0,0.003377926,0.178146403
470,1,0.006380952,0.123913813
471,1,0.005757576,0.273033513
472,0,0.003946488,0.10955871
473,0,0.003779264,0.053082442
474,0,0.003076923,0.222051378
475,1,0.006178862,0.110307701
476,0,0.003244147,0.155540451
477,0,0.003545151,0.269465215
478,0,0.003444816,0.249136351
479,0,0.004046823,0.149755788
480,0,0.003478261,0.140691247
481,0,0.004080268,0.203241825
482,0,0.003745819,0.239413231
483,0,0.003946488,0.271097567
484,0,0.003779264,0.196300776
485,0,0.004448161,0.601267096
486,0,0.003511706,0.194270397
487,0,0.004214047,0.20300081
488,0,0.003812709,0.169427609
489,0,0.004046823,0.215616518
490,0,0.004247492,0.225565697
491,0,0.004782609,0.091029887
492,0,0.003913043,0.381807295
493,0,0.003879599,0.307611239
494,1,0.005084746,0.443768136
495,0,0.003745819,0.455805774
496,0,0.003846154,0.347928151
497,0,0.004080268,0.129861472
498,0,0.004180602,0.28810179
499,0,0.004347826,0.182683233
500,0,0.003344482,0.333670157
501,0,0.003913043,0.065921433
502,0,0.003478261,0.466618809
503,0,0.003578595,0.1213171
504,1,0.005752212,0.109852933
505,0,0.003344482,0.177763604
506,0,0.003545151,0.290273524
507,0,0.003745819,0.122276277
508,0,0.003946488,0.199580582
